 Lammps data file for nanotube
 
        9216 atoms
           1 atom types
 
  -33.66221       67.32442     xlo xhi
  -26.75140       60.75663     ylo yhi
  -80.00000       80.00000     zlo zhi
 
  Atoms
 
  570    1  -2.882 -26.816  21.543
  571    1  -2.180 -25.602  21.543
  572    1  -0.778 -25.602  21.543
  573    1  -4.284 -24.388  21.543
  574    1  -2.882 -24.388  21.543
  575    1  -2.180 -23.172  21.543
  576    1  -0.778 -23.172  21.543
  577    1  -4.284 -21.958  21.543
  578    1  -2.882 -21.958  21.543
  579    1  -2.180 -20.744  21.543
  580    1  -0.778 -20.744  21.543
  581    1  -4.284 -19.529  21.543
  582    1  -2.882 -19.529  21.543
  583    1  -2.180 -18.315  21.543
  584    1  -0.778 -18.315  21.543
  585    1  -4.284 -17.101  21.543
  586    1  -2.882 -17.101  21.543
  587    1  -2.180 -15.886  21.543
  588    1  -0.778 -15.886  21.543
  589    1  -4.284 -14.671  21.543
  590    1  -2.882 -14.671  21.543
  591    1  -2.180 -13.457  21.543
  592    1  -0.778 -13.457  21.543
  593    1  -4.284 -12.243  21.543
  594    1  -2.882 -12.243  21.543
  595    1  -2.180 -11.028  21.543
  596    1  -0.778 -11.028  21.543
  597    1  -4.284  -9.813  21.543
  598    1  -2.882  -9.813  21.543
  599    1  -2.180  -8.599  21.543
  600    1  -0.778  -8.599  21.543
  601    1  -4.284  -7.385  21.543
  602    1  -2.882  -7.385  21.543
  603    1  -2.180  -6.170  21.543
  604    1  -0.778  -6.170  21.543
  605    1  -4.284  -4.956  21.543
  606    1  -2.882  -4.956  21.543
  607    1  -2.180  -3.742  21.543
  608    1  -0.778  -3.742  21.543
  609    1  -4.284  -2.526  21.543
  610    1  -2.882  -2.526  21.543
  611    1  -2.180  -1.312  21.543
  612    1  -0.778  -1.312  21.543
  613    1  -4.284  -0.098  21.543
  614    1  -2.882  -0.098  21.543
  615    1  -2.180   1.117  21.543
  616    1  -0.778   1.117  21.543
  617    1 -25.459 -11.573   1.296
  618    1 -25.464 -12.921   1.326
  619    1 -25.006 -13.554   2.434
  620    1 -24.446 -14.796   2.405
  621    1 -24.288 -15.296   1.146
  622    1 -23.554 -16.495   1.075
  623    1 -22.906 -17.087   2.265
  624    1 -21.823 -17.955   2.304
  625    1 -21.180 -18.235   1.094
  626    1 -19.957 -18.960   1.085
  627    1 -19.400 -19.402   2.288
  628    1 -18.092 -19.900   2.243
  629    1 -17.302 -20.144   1.065
  630    1 -15.900 -20.176   1.124
  631    1 -15.379 -20.069   2.379
  632    1 -14.028 -19.895   2.426
  633    1 -13.225 -19.992   1.326
  634    1 -12.058 -19.314   1.332
  635    1 -11.729 -18.558   2.421
  636    1 -10.974 -17.428   2.392
  637    1 -10.586 -17.072   1.133
  638    1  -9.877 -15.871   1.057
  639    1  -9.686 -15.040   2.250
  640    1  -9.500 -13.633   2.284
  641    1  -9.585 -12.955   1.091
  642    1  -9.604 -11.540   1.097
  643    1  -9.505 -10.842   2.294
  644    1  -9.656  -9.462   2.241
  645    1  -9.844  -8.615   1.088
  646    1 -10.565  -7.420   1.143
  647    1 -10.978  -7.054   2.394
  648    1 -11.742  -5.939   2.433
  649    1 -12.068  -5.218   1.305
  650    1 -13.202  -4.510   1.319
  651    1 -14.010  -4.625   2.440
  652    1 -15.363  -4.467   2.399
  653    1 -15.895  -4.328   1.155
  654    1 -17.277  -4.344   1.107
  655    1 -18.102  -4.620   2.245
  656    1 -19.386  -5.154   2.272
  657    1 -19.974  -5.523   1.073
  658    1 -21.207  -6.205   1.086
  659    1 -21.828  -6.535   2.282
  660    1 -22.933  -7.378   2.219
  661    1 -23.556  -7.950   1.060
  662    1 -24.226  -9.181   1.111
  663    1 -24.324  -9.730   2.381
  664    1 -24.954 -10.932   2.409
  665    1 -25.035 -11.576   3.609
  666    1 -25.084 -12.933   3.627
  667    1 -24.822 -13.638   4.727
  668    1 -24.459 -14.990   4.727
  669    1 -24.151 -15.535   3.530
  670    1 -23.414 -16.729   3.518
