 Lammps data file for nanotube
 
        2745 atoms
           1 atom types
 
  -33.66221       67.32442     xlo xhi
  -29.16934       58.33868     ylo yhi
  -80.00000       80.00000     zlo zhi
 
  Atoms
 
  539    1  -8.610  14.431   0.000
  540    1  -7.214  14.431   0.000
  541    1  -6.516  15.640   0.000
  542    1  -5.120  15.640   0.000
  543    1  -8.610  16.849   0.000
  544    1  -7.214  16.849   0.000
  545    1  -6.516  18.058   0.000
  546    1  -5.120  18.058   0.000
  547    1  -8.610  19.267   0.000
  548    1  -7.214  19.267   0.000
  549    1  -6.516  20.476   0.000
  550    1  -5.120  20.476   0.000
  551    1  -8.610  21.685   0.000
  552    1  -7.214  21.685   0.000
  553    1  -6.516  22.894   0.000
  554    1  -5.120  22.894   0.000
  555    1  -8.610  24.103   0.000
  556    1  -7.214  24.103   0.000
  557    1  -6.516  25.312   0.000
  558    1  -5.120  25.312   0.000
  559    1  -8.610  26.521   0.000
  560    1  -7.214  26.521   0.000
  561    1  -6.516  27.730   0.000
  562    1  -5.120  27.730   0.000
  563    1  -4.422  -0.076   0.000
  564    1  -3.026  -0.076   0.000
  565    1  -2.328   1.133   0.000
  566    1  -0.932   1.133   0.000
  567    1  -4.422   2.342   0.000
  568    1  -3.026   2.342   0.000
  569    1  -2.328   3.551   0.000
  570    1  -0.932   3.551   0.000
  571    1  -4.422   4.760   0.000
  572    1  -3.026   4.760   0.000
  573    1  -2.328   5.969   0.000
  574    1  -0.932   5.969   0.000
  575    1  -4.422   7.178   0.000
  576    1  -3.026   7.178   0.000
  577    1  -2.328   8.387   0.000
  578    1  -0.932   8.387   0.000
  579    1  -4.422   9.596   0.000
  580    1  -3.026   9.596   0.000
  581    1  -2.328  10.805   0.000
  582    1  -0.932  10.805   0.000
  583    1  -4.422  12.013   0.000
  584    1  -3.026  12.013   0.000
  585    1  -2.328  13.222   0.000
  586    1  -0.932  13.222   0.000
  587    1  -4.422  14.431   0.000
  588    1  -3.026  14.431   0.000
  589    1  -2.328  15.640   0.000
  590    1  -0.932  15.640   0.000
  591    1  -4.422  16.849   0.000
  592    1  -3.026  16.849   0.000
  593    1  -2.328  18.058   0.000
  594    1  -0.932  18.058   0.000
  595    1  -4.422  19.267   0.000
  596    1  -3.026  19.267   0.000
  597    1  -2.328  20.476   0.000
  598    1  -0.932  20.476   0.000
