# batch      l2_tst    l2_trn    l2_e_tst  l2_e_trn    l2_f_tst  l2_f_trn         lr
  18400    2.57e+00  2.23e+00    4.54e-02  4.50e-02    1.25e-01  1.08e-01    4.2e-04
  18500    2.59e+00  1.93e+00    4.20e-02  4.19e-02    1.26e-01  9.40e-02    4.2e-04
  18600    2.51e+00  2.02e+00    2.10e-02  2.06e-02    1.22e-01  9.81e-02    4.2e-04
  18700    2.53e+00  2.36e+00    3.74e-02  3.72e-02    1.23e-01  1.15e-01    4.2e-04
  18800    2.54e+00  2.74e+00    1.58e-02  1.58e-02    1.23e-01  1.34e-01    4.2e-04
  18900    2.68e+00  2.66e+00    1.49e-02  1.51e-02    1.31e-01  1.29e-01    4.2e-04
  19000    2.42e+00  3.29e+00    3.28e-02  3.25e-02    1.18e-01  1.60e-01    4.2e-04
  19100    2.71e+00  2.54e+00    7.03e-02  7.00e-02    1.32e-01  1.23e-01    4.2e-04
  19200    2.52e+00  1.33e+00    1.12e-01  1.11e-01    1.22e-01  6.41e-02    4.2e-04
  19300    2.64e+00  1.87e+00    2.46e-02  2.49e-02    1.29e-01  9.09e-02    4.2e-04
  19400    2.61e+00  2.45e+00    9.19e-03  9.04e-03    1.27e-01  1.19e-01    4.2e-04
  19500    2.48e+00  3.51e+00    4.10e-02  4.08e-02    1.20e-01  1.71e-01    4.2e-04
  19600    2.59e+00  2.34e+00    1.45e-02  1.44e-02    1.26e-01  1.14e-01    4.2e-04
  19700    2.52e+00  2.37e+00    6.47e-02  6.48e-02    1.23e-01  1.15e-01    4.2e-04
  19800    2.60e+00  2.20e+00    3.59e-03  3.78e-03    1.27e-01  1.07e-01    4.2e-04
  19900    2.45e+00  2.98e+00    2.27e-02  2.23e-02    1.19e-01  1.45e-01    4.2e-04
  20000    2.36e+00  1.69e+00    4.16e-02  4.15e-02    1.32e-01  9.47e-02    3.2e-04
  20100    2.13e+00  1.91e+00    1.31e-02  1.30e-02    1.20e-01  1.07e-01    3.2e-04
  20200    2.36e+00  2.36e+00    2.26e-02  2.23e-02    1.32e-01  1.33e-01    3.2e-04
  20300    2.21e+00  1.91e+00    3.84e-02  3.85e-02    1.24e-01  1.07e-01    3.2e-04
  20400    2.19e+00  2.61e+00    3.42e-02  3.39e-02    1.23e-01  1.47e-01    3.2e-04
  20500    2.23e+00  2.01e+00    1.35e-02  1.35e-02    1.25e-01  1.13e-01    3.2e-04
  20600    2.21e+00  2.06e+00    1.86e-02  1.83e-02    1.24e-01  1.16e-01    3.2e-04
  20700    2.27e+00  2.65e+00    4.08e-03  3.96e-03    1.27e-01  1.49e-01    3.2e-04
  20800    2.17e+00  1.75e+00    1.89e-03  1.20e-03    1.22e-01  9.82e-02    3.2e-04
  20900    2.31e+00  2.09e+00    5.56e-02  5.60e-02    1.29e-01  1.17e-01    3.2e-04
  21000    2.19e+00  1.66e+00    3.61e-02  3.58e-02    1.23e-01  9.32e-02    3.2e-04
  21100    2.29e+00  1.94e+00    3.49e-02  3.50e-02    1.29e-01  1.09e-01    3.2e-04
  21200    2.22e+00  2.48e+00    2.17e-02  2.18e-02    1.25e-01  1.39e-01    3.2e-04
  21300    2.29e+00  2.71e+00    3.86e-02  3.85e-02    1.28e-01  1.52e-01    3.2e-04
  21400    2.20e+00  1.64e+00    3.48e-02  3.46e-02    1.24e-01  9.21e-02    3.2e-04
  21500    2.23e+00  2.16e+00    2.55e-02  2.53e-02    1.26e-01  1.22e-01    3.2e-04
  21600    2.31e+00  2.11e+00    6.46e-02  6.44e-02    1.30e-01  1.19e-01    3.2e-04
  21700    2.14e+00  2.28e+00    4.52e-03  4.11e-03    1.20e-01  1.28e-01    3.2e-04
  21800    2.24e+00  1.98e+00    1.01e-02  1.04e-02    1.26e-01  1.11e-01    3.2e-04
  21900    2.17e+00  1.57e+00    3.81e-02  3.75e-02    1.22e-01  8.82e-02    3.2e-04
  22000    2.26e+00  1.79e+00    7.24e-03  7.65e-03    1.27e-01  1.00e-01    3.2e-04
  22100    2.27e+00  2.18e+00    9.63e-03  9.99e-03    1.28e-01  1.22e-01    3.2e-04
  22200    2.28e+00  1.88e+00    9.92e-02  9.88e-02    1.28e-01  1.05e-01    3.2e-04
  22300    2.21e+00  2.17e+00    5.23e-02  5.21e-02    1.24e-01  1.22e-01    3.2e-04
  22400    2.21e+00  2.17e+00    2.09e-02  2.09e-02    1.24e-01  1.22e-01    3.2e-04
  22500    2.31e+00  2.25e+00    4.22e-02  4.28e-02    1.29e-01  1.26e-01    3.2e-04
  22600    2.18e+00  2.51e+00    2.21e-02  2.15e-02    1.22e-01  1.41e-01    3.2e-04
  22700    2.33e+00  2.40e+00    5.26e-02  5.22e-02    1.31e-01  1.34e-01    3.2e-04
  22800    2.15e+00  1.84e+00    3.24e-02  3.22e-02    1.21e-01  1.03e-01    3.2e-04
  22900    2.29e+00  2.16e+00    4.10e-02  4.11e-02    1.28e-01  1.21e-01    3.2e-04
  23000    2.25e+00  1.79e+00    4.64e-02  4.64e-02    1.26e-01  1.01e-01    3.2e-04
  23100    2.26e+00  1.95e+00    2.03e-02  2.08e-02    1.27e-01  1.09e-01    3.2e-04
  23200    2.23e+00  1.77e+00    1.56e-03  1.59e-03    1.25e-01  9.93e-02    3.2e-04
  23300    2.23e+00  1.92e+00    1.03e-02  1.00e-02    1.25e-01  1.08e-01    3.2e-04
  23400    2.30e+00  2.39e+00    5.12e-02  5.09e-02    1.29e-01  1.34e-01    3.2e-04
  23500    2.18e+00  3.02e+00    5.26e-03  4.94e-03    1.22e-01  1.69e-01    3.2e-04
  23600    2.27e+00  2.40e+00    3.67e-02  3.68e-02    1.27e-01  1.35e-01    3.2e-04
  23700    2.15e+00  1.86e+00    1.48e-02  1.47e-02    1.21e-01  1.05e-01    3.2e-04
  23800    2.26e+00  1.97e+00    6.02e-03  6.17e-03    1.27e-01  1.11e-01    3.2e-04
  23900    2.16e+00  2.48e+00    3.64e-02  3.66e-02    1.21e-01  1.39e-01    3.2e-04
  24000    2.22e+00  2.70e+00    1.01e-02  1.01e-02    1.25e-01  1.51e-01    3.2e-04
  24100    2.40e+00  2.23e+00    9.78e-02  9.74e-02    1.35e-01  1.25e-01    3.2e-04
  24200    2.21e+00  1.95e+00    3.95e-02  3.97e-02    1.24e-01  1.10e-01    3.2e-04
  24300    2.31e+00  2.41e+00    1.54e-02  1.54e-02    1.30e-01  1.35e-01    3.2e-04
  24400    2.19e+00  2.65e+00    2.25e-02  2.20e-02    1.23e-01  1.49e-01    3.2e-04
  24500    2.34e+00  2.46e+00    1.94e-02  1.96e-02    1.32e-01  1.38e-01    3.2e-04
  24600    2.16e+00  1.75e+00    1.20e-01  1.20e-01    1.21e-01  9.78e-02    3.2e-04
  24700    2.25e+00  2.30e+00    3.38e-02  3.40e-02    1.27e-01  1.29e-01    3.2e-04
  24800    2.17e+00  2.10e+00    3.02e-02  3.03e-02    1.22e-01  1.18e-01    3.2e-04
  24900    2.24e+00  2.15e+00    2.70e-02  2.70e-02    1.26e-01  1.21e-01    3.2e-04
  25000    1.99e+00  1.49e+00    3.90e-02  3.87e-02    1.29e-01  9.65e-02    2.4e-04
  25100    1.90e+00  1.73e+00    9.68e-03  9.56e-03    1.23e-01  1.12e-01    2.4e-04
  25200    1.94e+00  1.64e+00    1.11e-03  1.09e-03    1.26e-01  1.06e-01    2.4e-04
  25300    1.91e+00  2.08e+00    2.85e-02  2.81e-02    1.24e-01  1.35e-01    2.4e-04
  25400    1.93e+00  1.48e+00    6.09e-03  6.20e-03    1.25e-01  9.58e-02    2.4e-04
  25500    1.88e+00  1.35e+00    8.45e-03  8.24e-03    1.22e-01  8.75e-02    2.4e-04
  25600    1.96e+00  1.77e+00    1.61e-02  1.62e-02    1.27e-01  1.15e-01    2.4e-04
  25700    1.94e+00  1.91e+00    1.56e-02  1.60e-02    1.26e-01  1.24e-01    2.4e-04
  25800    1.92e+00  1.98e+00    4.53e-02  4.55e-02    1.25e-01  1.28e-01    2.4e-04
  25900    1.94e+00  1.75e+00    3.05e-02  3.01e-02    1.26e-01  1.13e-01    2.4e-04
